fold,feature,perturbation_level,feature_mean,feature_std,clean_f1,perturbed_f1,delta_f1,clean_balanced_accuracy,perturbed_balanced_accuracy,delta_balanced_accuracy,clean_roc_auc,perturbed_roc_auc,delta_roc_auc
2,dwin,0.05,115.19811966396907,126.90425600877181,0.9439726232702204,0.9434802180763268,-0.0004924051938935969,0.9081172657631114,0.9081306146143748,1.3348851263472739e-05,0.9682247802728583,0.9689100783133505,0.0006852980404922215
2,dwin,0.1,115.19811966396907,126.90425600877181,0.9439726232702204,0.9428843169645091,-0.0010883063057112174,0.9081172657631114,0.90771973394248,-0.0003975318206314027,0.9682247802728583,0.968755997219722,0.0005312169468637551
2,dwin,0.2,115.19811966396907,126.90425600877181,0.9439726232702204,0.9426231561020811,-0.0013494671681392179,0.9081172657631114,0.9077209472907763,-0.00039631847233501105,0.9682247802728583,0.9687258136658462,0.0005010333929879041
3,sttl,0.05,179.71511797012678,102.8776189070447,0.9447103400139595,0.9428028598570072,-0.0019074801569523014,0.9079465518102482,0.9068125035086761,-0.0011340483015720437,0.9670536229249548,0.9593498939265068,-0.007703728998447956
3,sttl,0.1,179.71511797012678,102.8776189070447,0.9447103400139595,0.9391696977298382,-0.005540642284121322,0.9079465518102482,0.903368648401967,-0.004577903408281236,0.9670536229249548,0.9575944145207547,-0.009459208404200115
3,sttl,0.2,179.71511797012678,102.8776189070447,0.9447103400139595,0.9274339417397134,-0.017276398274246096,0.9079465518102482,0.8906845816320622,-0.01726197017818598,0.9670536229249548,0.9526444550871986,-0.014409167837756143
3,ct_state_ttl,0.05,1.3061919345732032,0.9566622217204337,0.9447103400139595,0.9447103400139595,0.0,0.9079465518102482,0.9079465518102482,0.0,0.9670536229249548,0.9670536229249548,0.0
3,ct_state_ttl,0.1,1.3061919345732032,0.9566622217204337,0.9447103400139595,0.9447103400139595,0.0,0.9079465518102482,0.9079465518102482,0.0,0.9670536229249548,0.9670536229249548,0.0
3,ct_state_ttl,0.2,1.3061919345732032,0.9566622217204337,0.9447103400139595,0.944801026957638,9.06869436785307e-05,0.9079465518102482,0.9080487513667491,0.00010219955650092594,0.9670536229249548,0.9667436312277522,-0.0003099916972025829
3,dload,0.05,668561.822277822,2418404.7212397084,0.9447103400139595,0.9490139956824412,0.004303655668481676,0.9079465518102482,0.8967157493071201,-0.011230802503128134,0.9670536229249548,0.9617035777848255,-0.005350045140129267
3,dload,0.1,668561.822277822,2418404.7212397084,0.9447103400139595,0.9485861182519281,0.0038757782379685857,0.9079465518102482,0.895907825576468,-0.012038726233780217,0.9670536229249548,0.9607126440114013,-0.006340978913553452
3,dload,0.2,668561.822277822,2418404.7212397084,0.9447103400139595,0.9492010378021871,0.004490697788227638,0.9079465518102482,0.8967921877098717,-0.011154364100376513,0.9670536229249548,0.9606712186378893,-0.006382404287065491
3,ct_dst_sport_ltm,0.05,4.202071962632813,5.784036054987153,0.9447103400139595,0.9435185300607073,-0.0011918099532521875,0.9079465518102482,0.9061553644745645,-0.0017911873356837305,0.9670536229249548,0.9652932017787205,-0.0017604211462343144
3,ct_dst_sport_ltm,0.1,4.202071962632813,5.784036054987153,0.9447103400139595,0.9399942578237152,-0.004716082190244331,0.9079465518102482,0.9015205074903925,-0.006426044319855717,0.9670536229249548,0.9598514310939719,-0.007202191830982918
3,ct_dst_sport_ltm,0.2,4.202071962632813,5.784036054987153,0.9447103400139595,0.9369854812153869,-0.0077248587985725425,0.9079465518102482,0.8962515980662185,-0.011694953744029735,0.9670536229249548,0.9535485498415084,-0.013505073083446395
3,dmean,0.05,123.52250757096172,257.5325384831947,0.9447103400139595,0.9460360899683571,0.0013257499543976037,0.9079465518102482,0.8968110739255746,-0.011135477884673617,0.9670536229249548,0.9650377725795436,-0.0020158503454111854
3,dmean,0.1,123.52250757096172,257.5325384831947,0.9447103400139595,0.946990619639142,0.002280279625182513,0.9079465518102482,0.8955604849871379,-0.012386066823110276,0.9670536229249548,0.9619682918538088,-0.005085331071145949
3,dmean,0.2,123.52250757096172,257.5325384831947,0.9447103400139595,0.9483911610777283,0.003680821063768769,0.9079465518102482,0.8949739921699722,-0.012972559640275994,0.9670536229249548,0.958756186127836,-0.008297436797118807
3,rate,0.05,95443.71246114238,165575.84891612877,0.9447103400139595,0.9492481658151529,0.00453782580119344,0.9079465518102482,0.8959281965363817,-0.012018355273866521,0.9670536229249548,0.9622046038770723,-0.004849019047882486
3,rate,0.1,95443.71246114238,165575.84891612877,0.9447103400139595,0.946203878183697,0.0014935381697375183,0.9079465518102482,0.8937816449324489,-0.014164906877799255,0.9670536229249548,0.9603122303817299,-0.006741392543224922
3,rate,0.2,95443.71246114238,165575.84891612877,0.9447103400139595,0.9437436655147571,-0.0009666744992024023,0.9079465518102482,0.8927737278399839,-0.015172823970264315,0.9670536229249548,0.9601566709363466,-0.00689695198860818
3,swin,0.05,116.09953462110973,126.98752057825273,0.9447103400139595,0.9391280332416927,-0.005582306772266787,0.9079465518102482,0.9038930600572259,-0.004053491753022276,0.9670536229249548,0.960956095600591,-0.0060975273243637496
3,swin,0.1,116.09953462110973,126.98752057825273,0.9447103400139595,0.9312526146317964,-0.013457725382163055,0.9079465518102482,0.8981145641992394,-0.009831987611008786,0.9670536229249548,0.9535959323724047,-0.013457690552550083
3,swin,0.2,116.09953462110973,126.98752057825273,0.9447103400139595,0.9237462730495093,-0.02096406696445019,0.9079465518102482,0.8927994654263648,-0.015147086383883401,0.9670536229249548,0.9493723125001918,-0.017681310424762953
3,dwin,0.05,114.8151316577412,126.86768003140408,0.9447103400139595,0.9447103400139595,0.0,0.9079465518102482,0.9079465518102482,0.0,0.9670536229249548,0.9670512682081724,-2.3547167823378956e-06
3,dwin,0.1,114.8151316577412,126.86768003140408,0.9447103400139595,0.9447103400139595,0.0,0.9079465518102482,0.9079465518102482,0.0,0.9670536229249548,0.9665708676034181,-0.00048275532153663203
3,dwin,0.2,114.8151316577412,126.86768003140408,0.9447103400139595,0.9447103400139595,0.0,0.9079465518102482,0.9079465518102482,0.0,0.9670536229249548,0.9653903976462281,-0.0016632252787266433
